Rank,State,2024
1,Minnesota,74
2,Mississippi,2
2,Wisconsin,5
4,New Hampshire,57
5,Washington,89
6,South Dakota,1
7,North Dakota,4
8,Hawaii,12
8,Massachusetts,400
8,Oregon,101
8,Montana,13
12,Nebraska,1
12,Colorado,34
12,Utah,3
12,Maine,88
16,Iowa,106
17,Idaho,35
18,Connecticut,335
19,New Jersey,201
20,Wyoming,724
21,Pennsylvania,9
21,Kansas,29
23,Alaska,6
23,Rhode Island,68
23,California,722
23,Virginia,6
27,New York,7
28,Illinois,45
29,Michigan,45
30,Maryland,86
30,Ohio,4
32,District of Columbia,67
32,Delaware,35
34,Missouri,45
35,Arizona,34
35,Indiana,3
37,North Carolina,34
38,Florida,65
39,Kentucky,9
39,Tennessee,6
41,West Virginia,4
42,Nevada,556
42,New Mexico,545
44,South Carolina,699
45,Arkansas,34
45,Oklahoma,35
47,Georgia,44
47,Texas,695
49,Alabama,40
50,Louisiana,90
